feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20
1,1,1,1,0,0,1,1,0,0,26,A,J,no,no,41,no,A,B,NO
1,1,0,1,0,0,0,1,0,1,24,B,D,no,yes,12,no,A,B,NO
1,1,0,1,1,0,1,1,1,1,27,B,D,yes,yes,24,no,A,A,YES
1,1,0,1,0,0,1,1,0,1,35,A,J,no,yes,41,no,A,B,NO
1,0,0,0,0,0,0,1,0,0,40,A,,no,no,63,no,A,,NO
1,1,1,1,1,0,1,1,1,1,36,B,I,yes,no,41,no,A,B,YES
0,1,0,0,0,0,0,1,0,0,17,A,K,no,no,41,no,A,B,NO
1,1,1,1,0,0,0,0,1,0,64,B,J,no,no,56,no,A,A,NO
1,1,0,0,1,0,0,1,1,1,29,B,J,no,no,41,no,A,B,NO
1,1,1,1,0,1,1,1,1,0,17,B,C,yes,yes,51,no,A,C,YES
1,1,1,1,1,1,1,1,1,1,33,B,J,no,no,41,no,A,D,YES
0,1,0,1,1,1,1,0,0,1,18,A,H,no,no,59,no,A,A,NO
0,1,1,1,1,1,0,0,1,0,17,A,,no,no,51,no,A,,NO
1,0,0,0,0,0,1,1,0,1,17,B,,no,no,21,no,A,,NO
1,0,0,0,0,0,1,1,0,1,17,A,,no,no,49,no,A,,NO
1,1,0,1,1,0,0,1,0,1,18,B,H,no,yes,56,no,A,A,NO
1,0,0,0,0,0,1,1,1,1,31,B,H,no,no,30,no,A,B,NO
0,0,0,0,0,0,0,1,0,1,30,B,J,no,no,52,no,A,B,NO
0,0,1,0,1,1,0,0,0,0,35,A,H,no,yes,17,no,A,B,NO
0,0,0,0,0,0,1,1,0,1,34,B,,yes,no,17,no,A,,NO
0,1,1,1,0,0,0,0,0,0,38,B,,no,no,17,no,A,,NO
0,0,0,0,0,0,0,0,0,0,27,A,K,no,no,17,no,A,B,NO
0,0,0,1,0,0,1,1,1,1,27,B,H,no,no,22,no,A,B,NO
0,0,0,0,0,0,0,1,0,1,42,B,H,yes,no,17,no,A,D,NO
1,1,1,1,0,0,0,1,0,0,43,B,,no,no,58,no,A,,NO
0,1,1,0,0,0,0,1,0,0,24,A,,yes,no,22,no,A,,NO
0,0,0,0,0,0,0,1,0,0,40,B,B,yes,yes,17,no,A,B,NO
0,0,0,0,0,0,0,1,0,0,40,B,H,yes,yes,22,no,A,A,NO
0,0,0,0,0,0,0,1,0,0,48,B,K,no,no,56,no,A,B,NO
0,1,1,0,0,0,0,0,1,1,31,B,H,no,no,9,no,A,B,NO
0,0,0,0,0,0,0,0,0,0,18,B,J,no,no,9,no,A,B,NO
1,0,0,1,1,1,1,1,0,1,37,A,J,no,yes,41,no,A,B,YES
1,1,0,0,0,0,1,0,0,1,55,A,I,no,no,56,no,A,B,NO
1,1,1,1,1,1,1,1,1,1,18,A,J,yes,no,37,no,A,B,YES
1,1,1,1,1,1,1,1,1,1,18,A,J,no,no,37,no,A,B,YES
0,0,1,0,0,0,0,0,0,0,55,B,J,no,no,56,no,,B,NO
0,1,1,0,1,0,0,1,1,1,50,B,H,no,no,17,no,A,B,NO
1,0,1,1,1,1,0,0,1,0,34,A,J,no,no,56,no,A,B,NO
1,0,0,1,1,1,1,0,1,1,53,A,J,no,no,56,no,A,B,YES
1,0,1,1,0,1,1,1,1,1,35,A,J,no,yes,41,no,A,B,YES
1,0,1,1,1,0,1,1,0,1,20,A,D,yes,no,6,no,A,B,YES
0,0,0,0,1,1,0,0,0,0,28,A,C,no,no,7,no,A,B,NO
0,0,1,1,0,0,0,0,0,1,34,A,H,no,yes,63,no,A,B,NO
0,1,1,1,0,0,0,0,0,1,36,A,J,yes,yes,41,no,A,B,NO
1,1,1,1,1,1,0,1,0,1,27,A,J,no,no,56,no,A,B,YES
1,0,1,1,1,1,0,1,1,0,53,A,J,no,no,56,no,A,D,YES
1,1,1,1,0,1,0,0,0,0,24,A,B,no,no,56,no,A,D,NO
0,0,1,1,1,0,1,0,0,0,24,B,B,no,no,56,no,A,D,NO
0,1,1,0,0,1,0,0,0,0,55,B,J,no,no,56,no,A,D,NO
1,1,0,0,0,1,1,1,0,1,30,A,C,no,no,62,no,A,B,NO
1,0,0,1,0,0,0,1,0,0,21,A,D,no,no,61,no,A,B,NO
1,1,1,1,1,1,1,1,1,1,35,A,K,no,no,34,no,A,A,YES
1,0,0,0,0,0,0,0,0,0,383,A,B,no,no,56,no,A,B,NO
1,0,1,1,1,1,1,1,0,1,,B,D,no,yes,12,no,A,B,YES
1,1,1,1,1,1,1,1,1,1,47,B,J,no,no,41,no,A,B,YES
1,1,,1,1,1,0,1,1,1,30,A,C,no,no,36,no,A,B,YES
1,0,1,1,1,1,0,1,1,1,28,A,J,no,no,13,no,A,B,YES
1,1,1,1,1,1,0,1,1,1,43,A,J,no,no,13,no,A,B,YES
1,0,0,0,1,0,0,1,0,0,32,A,F,no,yes,31,no,A,B,NO
1,1,1,,0,0,0,1,0,0,44,A,J,no,no,13,no,A,B,NO
1,0,1,1,1,1,1,1,0,1,20,A,I,no,no,31,no,A,B,YES
1,0,1,1,0,1,1,1,0,1,20,A,I,no,no,31,yes,A,B,YES
0,0,0,0,0,0,0,0,0,0,,B,,no,no,42,no,A,,NO
1,0,0,1,1,0,0,1,1,0,19,B,J,no,no,13,no,A,A,NO
1,1,1,1,1,1,1,1,0,1,29,A,J,no,no,13,no,A,B,YES
1,0,1,0,0,0,0,1,0,0,21,B,H,no,no,41,no,A,B,NO
0,1,0,0,0,0,0,1,0,0,27,B,H,no,no,34,no,A,A,NO
1,0,1,0,1,1,1,1,0,0,21,B,G,no,no,41,no,A,B,NO
1,0,0,0,1,0,1,0,0,1,35,B,H,no,no,42,no,A,B,NO
0,0,0,0,1,0,0,0,0,0,42,B,K,no,no,56,no,A,B,NO
1,1,0,0,0,0,1,1,0,1,29,A,F,no,no,56,no,A,B,NO
0,0,1,1,0,0,0,1,0,0,58,B,C,no,no,56,no,A,B,NO
1,0,1,1,0,0,1,1,0,1,21,B,I,no,no,41,no,A,B,NO
1,1,1,0,0,0,0,1,1,1,21,B,I,no,no,41,no,A,B,NO
0,0,1,1,1,0,0,1,1,1,37,A,J,no,yes,41,no,A,B,NO
1,1,0,1,1,1,1,1,0,0,21,B,G,no,no,41,no,A,B,YES
1,0,0,0,0,0,1,1,0,0,20,B,H,no,no,41,no,A,B,NO
