"word","similarity to model[[c(""man"", ""boy"", ""sir"", ""gentleman"", ""he"", ""his"", ""him"")]]"
"gentleman",0.659480428897119
"man",0.572143010039916
"he",0.55419732960785
"him",0.547100530853242
"boy",0.540706008024567
"his",0.480457085316888
"woman",0.446248534068209
"man,",0.434858546619829
"she",0.417623341132212
"her",0.417037075617655
"girl",0.416321128420341
"He",0.405661721565768
"boy,",0.405371384686019
"who",0.404982592232762
"young",0.366971163119336
"man.",0.356998086170336
"lady",0.348905551486171
"woman,",0.336424800025715
"man's",0.333404774174187
"girl,",0.329371171339961
"guy",0.320439859748168
"boy.",0.317946332956607
"but",0.316337390283557
"a",0.316285797623811
"girl.",0.31059173309934
"is",0.30882992023715
"poor",0.305105809204934
"in",0.302935017515629
"orphan",0.301899154294709
"that",0.301816880550788
"She",0.300417845039149
"has",0.296093275699304
"stranger",0.292661054466787
"with",0.289696606598886
"beggar",0.288487591800257
"person",0.288134022980372
"for",0.28545948477219
"rich",0.285408518197126
"woman.",0.274828908575341
"elderly",0.271815883653173
"on",0.271562763191116
"them",0.270862606684728
"an",0.269976246128858
"as",0.26821155534825
"thief",0.268209994657855
"boy's",0.268141021567406
"prostitute",0.268066084952149
"farmer",0.268043560394516
"homeless",0.266373214315022
"handsome",0.261310920084297
"womanizer",0.260030808608691
"kid,",0.258767020287764
"it",0.257678966279853
"servant",0.257058253570781
"then",0.256457653005674
"blind",0.256452904357469
"drunkard",0.25463541809138
"gentleman.",0.25438526716534
"naive",0.253213053320311
"policeman",0.253088756208462
"named",0.252799742748408
"to",0.252074538843789
"orphan,",0.249929902426254
"by",0.249197189440925
"fellow.",0.248888149654018
"was",0.248813250186405
"child",0.247020977427616
"Helge",0.246364007205923
"stutter",0.246136624196014
"lonely",0.24608880676075
"charming",0.244171705719328
"from",0.243737604006137
"stranger,",0.24359189160147
"([[Radha",0.243181470078035
"of",0.242163063461057
"""lady""",0.241767503239136
"Johan,",0.241359519228732
"Fatima,",0.240867816293477
"not",0.240728474091148
"at",0.240371784163876
"and",0.240100909742356
"well-spoken",0.239674759326014
"father",0.239523571615451
"peasant,",0.237505312435744
"kid",0.236513949365697
"kindly",0.236183388943289
"pretty",0.234855388079555
"woman's",0.232714163095375
"thief,",0.231950869814648
"businessman,",0.231205398190691
"potter",0.230645423339123
"about",0.230609624330675
"Faten",0.230130794360026
"tawaif",0.229577639146332
"businessman",0.229530091491643
"""Countess",0.229515310829524
"middle-aged",0.226762183801601
"widow",0.226558431956728
"grandfather",0.226392830975438
"forever:",0.226307215702478
"when",0.225455653932468
"pickpocket",0.225225896250809
"Ariadne,",0.225081071822579
"bully",0.224390305012154
"lady,",0.224134339458924
"Hamama",0.223670455380945
"Devdas,",0.223050621586199
"claims",0.222632836512458
"gentleman's",0.222583541861414
"lucky",0.221191089469929
"womaniser.",0.221138809839873
"omen.",0.220836890357428
"guy.",0.220553940635393
"teenager",0.219579364582522
"dandy",0.218904968511137
"impaired",0.218784103900598
"waiter",0.218681092237954
"pretty,",0.218676839952111
"chap",0.218263505683457
"catechism",0.218243154535231
